;Class;Source;Target;Total;Lines;Statements;X..Statements;Calls;X..Comments;Classes;Methods.Class;Avg.Stmts.Method;Max.Complexity;Max.Depth;Avg.Depth;Avg.Complexity;pmdAll;pmdCoupling;pmdDesign;pmdCodeSize;pmdPriority;findbugsAll;findbugsStyle;findbugsBad;findbugsScary;ncloc;complexity;class_complexity;comment_lines;comment_lines_density;public_undocumented_api;duplicated_lines;violations;code_smells;sqale_index;sqale_debt_ratio;bugs;vulnerabilities;statements;public_api;functions;WMC;DIT;NOC;CBO;RFC;LCOM;Ca;NPM;Commits;Creation
1;AbstractField;5;0;5;292;125;18.4;40;40.8;1;23;3.43;19;3;1.77;2.09;115;0;3;5;4;0;0;0;0;144;52;52;85;37.1;2;0;4;4;56;1.3;0;0;77;20;23;23;1;3;6;39;125;4;20;29;1297466174
2;AlreadyClosedException;0;3;3;28;4;0;1;71.4;1;1;1;1;2;0.75;1;3;0;0;0;0;0;0;0;0;6;1;1;14;70;1;0;1;1;5;2.8;0;0;1;2;1;1;5;0;0;2;0;8;1;7;1269287493
3;Analyzer;3;16;19;153;49;18.4;19;45.1;1;8;3.75;4;4;1.8;2.13;41;9;4;0;3;0;0;0;0;69;26;26;56;44.8;0;0;9;9;56;2.7;0;0;24;6;9;10;1;0;4;26;27;10;5;28;1270982258
4;ArrayUtil;0;0;0;671;268;26.9;87;34.3;1;52;4.33;14;5;2.09;2.81;329;14;21;3;29;0;0;0;0;361;154;154;164;31.2;22;0;20;20;173;1.6;0;0;186;43;46;47;1;0;4;68;1079;51;42;24;1296426876
5;Attribute;0;0;0;24;2;0;0;79.2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;13;81.3;0;0;1;1;5;5.6;0;0;0;1;0;0;1;0;0;0;0;28;0;10;1269287493
6;AttributeImpl;0;0;0;135;41;17.1;29;55.6;2;2;7.5;5;5;2.19;3.75;42;12;0;0;3;0;0;0;0;54;15;15;53;49.5;0;14;6;4;56;3.5;0;2;27;5;5;6;1;11;4;29;15;20;6;17;1297191928
7;AttributeReflector;0;0;0;34;3;0;0;76.5;1;1;0;0;1;0.33;0;6;0;0;0;0;0;0;0;0;4;0;0;18;81.8;0;0;2;2;7;5.8;0;0;0;2;1;1;1;0;0;1;0;7;1;1;1295476876
8;AttributeSource;1;0;1;538;224;25;133;29.9;5;5.6;6.18;5;9+;2.14;2;187;47;11;5;11;0;0;0;0;324;114;28.5;111;25.5;0;14;30;27;186;1.9;3;0;164;22;27;23;1;2;7;75;35;37;20;26;1298817686
9;Automaton;0;0;0;776;327;19.3;174;38.5;1;54;4.7;9;7;2.38;2.25;279;35;8;1;41;2;0;0;2;405;124;124;150;27;5;0;56;54;207;1.7;1;1;268;40;52;54;1;0;6;124;1287;17;44;9;1297191928
10;AutomatonProvider;0;0;0;50;4;0;0;82;1;1;0;0;1;0.25;0;2;0;0;0;0;0;0;0;0;5;0;0;7;58.3;0;0;2;2;7;4.7;0;0;0;2;1;1;1;0;1;1;0;3;1;1;1270581567
11;AutomatonQuery;0;0;0;205;105;21;55;27.3;7;1.43;8.1;12;6;2.37;3.3;80;2;2;6;7;0;0;0;0;135;37;18.5;45;25;0;12;4;3;38;0.9;1;0;67;2;6;5;0;2;18;41;0;8;4;8;1297191928
12;AutomatonTermsEnum;0;0;0;343;147;22.4;47;40.8;2;4;13.88;13;6;2.5;6.38;113;14;2;3;13;0;0;0;0;182;60;30;107;37;5;0;14;14;87;1.6;0;0;107;8;8;8;0;1;9;34;0;2;1;10;1297092846
13;AverageGuessMemoryModel;0;0;0;78;22;0;18;47.4;1;5;2.4;1;3;1.73;1;13;1;1;0;0;0;0;0;0;33;4;4;22;40;0;0;2;2;35;3.5;0;0;12;1;4;5;0;0;2;9;8;2;5;11;1269287493
14;AveragePayloadFunction;0;0;0;66;26;11.5;7;33.3;1;5;3.6;4;2;1.58;1.6;36;0;1;0;3;0;0;0;0;37;13;13;15;28.8;0;17;3;3;26;2.3;0;0;18;1;5;6;0;0;2;12;15;1;6;12;1293391002
15;BasicAutomata;0;0;0;242;108;6.5;103;36.8;1;9;10.56;3;3;2.33;1.5;126;11;0;3;4;0;0;0;0;138;39;39;33;19.3;0;0;21;21;40;1;0;0;106;9;13;13;1;0;5;39;78;6;8;2;1272929037
16;BasicOperations;0;0;0;852;539;24.5;300;20.5;4;7.75;15.55;20;9+;3.08;5.9;580;115;12;20;73;2;0;2;2;616;215;53.8;107;14.8;6;0;126;122;515;2.8;4;0;488;25;31;21;1;0;12;125;208;6;18;10;1296400215
17;Bits;0;0;0;61;15;0;1;31.1;3;2.67;0;0;3;1.86;0;25;0;1;0;1;0;0;0;0;30;6;2;13;30.2;10;0;9;7;40;4.4;0;2;6;11;8;3;1;0;0;3;3;85;2;2;1285443157
18;BitsSlice;0;0;0;46;17;5.9;2;39.1;1;3;3;2;3;1.47;1.33;15;0;0;0;0;0;0;0;0;22;5;5;14;38.9;3;0;2;1;5;0.8;0;1;9;4;3;4;1;0;2;13;0;1;3;1;1270581567
19;BitUtil;0;0;0;817;428;9.1;35;20.9;1;15;27.33;9;4;3.08;3.6;524;9;2;6;118;1;0;0;1;554;64;64;136;19.7;1;412;267;265;1263;7.6;0;2;409;15;15;16;1;0;0;17;108;2;14;22;1288826101
20;BitVector;30;0;30;283;143;16.1;53;29.3;1;19;6;6;4;2.05;2.32;93;2;2;1;5;0;0;0;0;189;55;55;74;28.1;1;0;13;12;76;1.3;1;0;109;13;19;20;1;0;4;43;0;5;13;26;1270581567
21;BlockTermsReader;0;0;0;878;397;15.6;137;23.9;5;8;7.38;42;9+;4.04;2.67;251;3;6;7;25;5;1;4;5;534;123;24.6;203;27.5;3;0;86;84;553;3.5;2;0;289;4;40;15;0;0;15;44;65;5;7;5;1297938719
22;BlockTermState;0;0;0;56;20;0;3;53.6;1;2;4;1;2;1.15;1;17;1;0;0;0;0;0;0;0;25;2;2;24;49;5;0;9;9;67;8.9;0;0;8;6;2;4;0;3;2;15;2;8;3;3;1297938719
23;BlockTermsWriter;0;0;0;315;160;10.6;66;16.8;3;4;9;6;6;2.56;2.42;118;13;3;0;9;0;0;0;0;214;31;10.3;46;17.7;3;0;20;20;83;1.3;0;0;109;4;12;6;0;0;13;33;1;3;3;2;1297938719
24;BooleanClause;0;0;0;107;36;2.8;4;31.8;2;6.5;1.31;4;4;1.78;1.3;21;0;1;0;0;0;0;0;0;48;15;7.5;27;36;2;0;2;2;7;0.5;0;0;17;5;6;10;1;0;2;19;0;5;10;29;1297191928
25;BooleanQuery;0;0;0;479;235;23.4;165;25.9;3;9.67;6.41;14;6;2.97;3.17;277;65;11;13;36;0;0;0;0;314;104;34.7;98;23.8;2;0;27;23;151;1.6;4;0;185;14;27;22;0;0;9;58;47;12;19;96;1295896411
26;BooleanScorer;0;0;0;378;182;15.4;40;26.2;6;4;4.92;10;6;2.65;2.38;195;11;21;3;1;1;0;0;1;242;59;9.8;93;27.8;6;0;29;27;141;1.9;2;0;117;6;23;9;0;0;11;31;6;1;7;44;1295555804
27;BooleanScorer2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;123;3;8;1;5;2;2;0;2;221;54;18;78;26.1;0;0;11;9;46;0.7;2;0;89;0;22;19;0;0;16;45;65;5;8;39;1295555804
28;BoostAttribute;0;0;0;38;7;0;0;76.3;1;2;0;0;1;0.29;0;9;0;0;0;0;0;0;0;0;8;0;0;24;75;0;0;1;1;5;2.1;0;0;0;3;2;2;1;0;1;2;1;6;2;8;1296426876
29;BoostAttributeImpl;0;0;0;45;12;0;1;42.2;1;4;1;1;2;1.08;1;10;1;0;0;0;0;0;0;0;19;2;2;14;42.4;0;0;1;1;5;0.9;0;0;4;1;2;5;0;0;2;7;0;0;5;11;1295476876
30;BufferedDeletes;5;0;5;244;107;17.8;66;24.6;2;7.5;4.87;7;4;1.77;2.82;102;7;5;1;4;0;0;0;0;149;41;41;56;27.3;5;0;20;19;76;1.7;1;0;67;5;12;13;1;0;7;49;0;10;7;23;1296516902
31;BufferedDeletesStream;20;0;20;465;244;18.9;120;17.2;3;6.67;9.65;21;7;2.86;3.37;174;19;13;9;29;3;1;2;3;317;78;26;75;19.1;15;0;45;44;268;2.8;1;0;196;16;17;18;1;0;25;92;0;4;10;4;1297940445
32;BufferedIndexInput;0;0;0;303;157;22.9;35;22.1;1;20;6.3;11;5;2.5;2.9;95;0;2;1;4;1;0;0;1;210;63;63;58;21.6;0;0;10;10;108;1.7;0;0;116;3;21;23;0;2;2;43;0;3;16;21;1295583005
33;BufferedIndexOutput;0;0;0;139;51;17.6;14;41;1;7;5;9;6;2.53;2.29;30;0;0;0;2;0;0;0;0;70;15;15;47;40.2;0;0;2;2;15;0.7;0;0;33;1;9;10;0;1;1;12;17;1;8;14;1269287493
34;Builder;0;0;0;524;272;16.2;77;22.7;5;4.8;8.96;50;5;2.64;5.25;212;34;6;5;28;0;0;0;0;337;73;14.6;107;24.1;21;0;48;48;273;2.7;0;0;201;25;24;17;1;0;12;58;2;4;9;5;1298740033
35;ByteArrayDataInput;0;0;0;111;46;4.3;2;17.1;1;13;2.23;2;3;1.74;1.15;43;0;0;1;2;2;0;0;2;74;14;14;16;17.8;5;0;4;4;45;2;0;0;30;6;12;14;0;0;1;18;0;9;13;2;1295549635
36;ByteBlockPool;0;0;0;202;91;8.8;18;28.7;3;4;4.83;4;3;1.91;1.67;71;2;10;0;0;2;0;0;2;111;19;6.3;50;31.1;18;0;20;15;77;2.3;1;4;57;19;13;7;1;0;4;16;0;10;6;18;1292211129
37;ByteFieldSource;0;0;0;115;31;3.2;14;41.7;1;9;1.67;1;2;1.03;1;41;3;0;0;5;0;0;0;0;56;14;14;35;38.5;0;27;3;3;45;2.7;0;0;15;3;6;6;0;0;6;16;3;2;6;25;1269287493
38;ByteRunAutomaton;0;0;0;43;14;14.3;5;46.5;1;3;3;3;3;1.71;2;18;1;0;0;1;0;0;0;0;18;7;7;14;43.8;1;0;2;2;6;1.1;0;0;9;4;3;3;0;0;3;7;3;3;3;2;1297016220
39;ByteSequenceOutputs;8;0;8;137;71;19.7;14;18.2;1;9;6.11;7;3;2.06;2.56;39;0;3;0;4;0;0;0;0;95;30;30;19;16.7;1;16;3;3;27;0.9;0;0;52;2;8;17;0;0;4;33;98;0;15;1;1292168168
40;ByteSliceReader;0;0;0;141;75;14.7;8;19.9;1;6;9.17;4;4;2.09;2.83;46;0;0;0;2;0;0;0;0;91;13;13;24;20.9;7;0;7;7;50;1.8;0;0;53;7;6;8;0;0;3;13;0;5;6;11;1286023472
41;ByteSliceWriter;0;0;0;86;34;8.8;2;29.1;1;4;6;4;5;2.47;2.25;21;0;0;0;0;0;0;0;0;47;8;8;18;27.7;1;0;1;1;5;0.4;0;0;23;2;5;6;0;0;2;10;0;0;5;9;1286023472
42;BytesRef;0;6;6;367;171;15.8;33;24.5;3;9.33;4.46;9;7;2.3;2.04;129;2;4;1;19;7;0;5;7;222;63;21;72;24.5;11;37;28;24;187;2.8;1;3;123;23;26;26;1;0;4;44;139;184;24;15;1297191928
43;BytesRefFSTEnum;0;0;0;107;47;8.5;9;24.3;2;5;2.7;3;3;1.66;1.4;25;0;0;0;0;0;0;0;0;65;16;8;21;24.4;5;12;6;6;51;2.6;0;0;25;9;10;10;0;0;4;17;7;3;5;3;1294224724
44;BytesRefHash;0;0;0;551;242;13.2;58;33.8;5;5.4;6.93;12;6;2.67;2.41;148;10;2;3;28;2;1;0;2;314;70;17.5;126;28.6;5;0;19;16;124;1.3;3;0;174;23;27;18;1;0;8;47;17;9;14;7;1298642592
45;ByteValuesCreator;0;0;0;146;60;0;38;12.3;2;3;6;1;3;1.52;1;46;0;1;5;10;0;0;0;0;112;26;26;14;11.1;3;22;9;8;74;2.2;0;1;51;3;8;10;0;0;16;28;25;3;9;5;1294225344
46;CachedArray;0;0;0;78;42;0;1;34.6;7;1;1.29;1;3;1.57;1;49;0;0;0;0;6;0;0;6;39;7;1;19;32.8;17;0;11;11;105;9;0;0;15;19;8;2;1;6;1;3;1;20;2;2;1285538458
47;CachedArrayCreator;0;0;0;151;74;21.6;28;17.2;1;7;6.43;7;6;2.08;3.57;44;0;0;0;3;0;0;0;0;110;30;30;18;14.1;7;0;6;4;30;0.9;0;2;46;8;10;10;0;6;15;34;39;14;7;6;1291686380
48;CachingSpanFilter;0;0;0;112;44;6.8;14;28.6;2;4.5;3;3;4;1.6;1.44;34;4;2;0;0;0;0;0;0;61;18;18;19;23.8;0;0;5;5;18;1;0;0;25;3;8;8;0;0;9;24;8;1;7;18;1295877066
49;CachingTokenFilter;0;11;11;86;32;15.6;14;33.7;1;5;3.4;3;3;1.53;2;19;0;0;0;0;0;0;0;0;46;11;11;22;32.4;1;0;2;2;6;0.4;0;0;17;2;5;5;0;0;3;15;0;1;4;16;1269287493
50;CachingWrapperFilter;0;0;0;235;84;19;29;38.3;4;2.75;5.45;8;7;2.46;2.22;63;3;3;0;0;0;0;0;0;113;32;10.7;71;38.6;2;0;11;11;35;1;0;0;52;6;11;7;0;0;10;25;1;1;6;34;1297191928
51;CharacterRunAutomaton;0;0;0;51;20;20;8;43.1;1;3;5;3;3;1.95;2.33;30;0;0;0;10;0;0;0;0;24;9;9;14;36.8;1;0;9;7;57;7.9;2;0;15;4;3;3;0;0;2;9;1;0;3;1;1272929037
52;CharacterUtils;0;0;0;286;52;1.9;35;52.8;1;2;20.5;1;2;1.71;1;47;1;2;0;1;1;0;0;1;107;26;6.5;110;50.7;0;0;1;1;5;0.2;0;0;40;9;18;8;1;2;4;14;26;3;7;6;1269287493
53;CharReader;0;0;0;71;20;0;7;31;1;7;1.14;1;2;1.2;1;19;0;0;0;0;0;0;0;0;37;9;9;4;9.8;1;0;2;2;10;0.9;0;0;8;2;8;8;0;0;1;14;0;1;7;16;1269287493
54;CharStream;0;0;0;112;14;0;0;73.2;1;12;0;0;1;0.86;0;12;0;0;0;0;0;0;0;0;5;0;0;11;68.8;0;0;1;1;5;3.3;0;0;0;2;1;12;1;0;0;12;66;4;12;59;1291116159
56;CharTermAttribute;0;0;0;91;14;0;0;70.3;1;11;0;0;1;0.79;0;26;0;0;0;0;0;0;0;0;15;0;0;51;77.3;3;0;4;4;20;4.4;0;0;0;12;11;14;1;0;1;11;91;4;14;2;1271673925
57;CharTermAttributeImpl;0;0;0;260;146;18.5;55;17.3;1;24;4.58;17;5;1.99;2.29;114;13;0;5;2;2;0;0;2;186;69;69;37;16.6;15;0;7;7;65;1.2;0;0;108;16;24;29;0;1;7;55;0;1;26;9;1297191928
58;CharTokenizer;0;0;0;202;69;14.5;29;52.5;1;7;6.29;11;6;2.17;2.43;65;0;7;4;6;0;0;0;0;90;17;17;87;49.2;0;0;18;17;122;4.5;1;0;46;4;8;9;0;0;9;31;4;0;6;34;1291116159
59;CheckIndex;17;0;17;1058;537;23.1;254;20.4;7;2.14;29.53;48;9+;3.54;10.21;400;117;9;15;57;21;20;0;21;680;168;24;172;20.2;1;0;159;116;1208;5.9;0;43;430;59;13;15;1;0;33;127;41;0;7;60;1295549635
60;ChecksumIndexInput;0;0;0;76;27;0;10;27.6;1;8;1.5;1;2;1.26;1;26;0;0;0;0;0;0;0;0;43;9;9;15;25.9;2;0;2;1;5;0.4;0;1;12;3;8;8;0;0;1;19;0;1;8;9;1269287493
61;ChecksumIndexOutput;0;0;0;102;36;0;18;32.4;1;11;1.64;1;2;1.36;1;28;0;0;0;0;0;0;0;0;55;12;12;25;31.3;2;0;2;1;5;0.3;0;1;18;5;11;11;0;0;1;25;0;1;11;10;1269287493
62;CloseableThreadLocal;0;0;0;107;35;20;16;46.7;1;5;4.4;5;4;1.94;2.8;33;3;1;0;0;0;0;0;0;44;12;12;41;48.2;3;0;5;5;17;1.3;0;0;20;4;4;5;1;1;0;21;0;8;4;14;1269287493
63;Codec;0;0;0;71;23;8.7;12;45.1;1;3;2;3;3;1;1.67;20;4;1;0;0;0;0;0;0;29;4;4;25;46.3;2;0;6;4;35;4;0;2;5;8;7;9;1;5;6;17;36;14;8;6;1289840486
64;CodecProvider;0;0;0;161;60;16.7;20;36.6;1;12;2.75;5;4;1.65;1.83;54;1;12;0;1;0;0;0;0;80;21;21;41;33.9;2;0;9;7;17;0.7;0;2;32;6;5;14;1;1;6;32;49;18;13;20;1297347587
65;CodecUtil;20;0;20;81;33;15.2;16;27.2;1;4;5;5;3;1.52;2.25;18;1;1;0;2;0;0;0;0;44;14;14;16;26.7;3;0;3;3;12;0.9;0;0;20;4;4;4;1;0;5;20;6;15;3;4;1288826101
66;CollectionUtil;0;0;0;160;43;4.7;36;40.6;1;15;1.93;2;2;0.7;1.2;65;7;2;0;0;0;0;0;0;72;21;21;46;39;0;0;5;5;55;2.5;0;0;20;7;9;9;1;0;3;17;36;3;6;2;1296426876
67;Collector;0;0;0;176;9;0;4;89.2;1;0;0;0;1;0.44;0;9;0;0;0;0;0;0;0;0;10;0;0;119;92.2;0;0;2;2;15;5;0;0;0;5;4;5;1;7;2;6;10;17;5;14;1294820532
68;ComplexExplanation;0;0;0;71;19;5.3;11;52.1;1;6;1.67;2;2;1.42;1.17;16;1;1;0;0;0;0;0;0;26;8;8;26;50;2;0;2;2;6;0.8;0;0;10;3;4;6;0;0;1;18;9;11;5;12;1269287493
69;CompoundFileReader;0;0;0;330;140;12.1;52;20;3;8.33;3.68;11;5;2.27;1.72;115;1;10;3;3;0;0;0;0;209;51;17;57;21.4;2;0;10;10;82;1.3;0;0;89;4;23;17;0;0;8;49;80;6;17;40;1292065621
70;CompoundFileWriter;0;0;0;239;96;13.5;33;38.1;2;3.5;9.43;7;4;2.04;2.86;100;16;9;0;5;0;0;0;0;115;26;13;78;40.4;0;0;4;4;12;0.3;0;0;66;2;5;8;1;0;8;46;6;2;5;26;1295889977
71;CompressionTools;0;0;0;126;50;4;31;33.3;1;8;4.25;2;4;1.88;1.25;25;0;1;0;2;0;0;0;0;62;10;10;37;37.4;0;0;1;1;5;0.3;0;0;32;8;8;8;1;0;3;30;28;0;7;11;1272907855
72;ConcurrentMergeScheduler;0;0;0;521;223;23.8;103;26.5;2;14;6.18;12;6;2.91;3.15;161;25;15;9;12;0;0;0;0;309;93;46.5;121;28.1;4;0;25;21;138;1.5;3;1;169;10;24;22;0;0;9;73;129;2;10;49;1296426876
73;ConjunctionScorer;0;0;0;139;61;16.4;19;30.2;2;4;5.63;5;4;1.97;2.25;52;15;1;0;4;0;0;0;0;82;24;24;38;31.7;0;0;8;5;13;0.5;3;0;43;0;7;7;0;1;4;16;0;3;6;25;1295555804
74;Constants;0;9;9;89;35;17.1;20;39.3;1;2;0.5;1;4;1.63;1;32;0;16;0;0;0;0;0;0;44;8;8;29;39.7;0;0;16;16;80;6.1;0;0;14;1;2;3;1;0;1;14;3;7;0;37;1295759448
75;ConstantScoreAutoRewrite;0;0;0;222;94;4.3;63;18;1;7;9.86;1;4;2.68;1;113;6;7;0;8;0;0;0;0;150;33;11;36;19.4;2;0;16;14;71;1.6;0;2;69;2;12;13;0;1;17;35;28;1;7;4;1294868331
76;ConstantScoreQuery;0;0;0;288;112;10.7;83;16;3;4.67;6;5;5;2.95;1.85;120;13;4;0;3;0;0;0;0;205;64;21.3;38;15.6;0;0;7;7;29;0.5;0;0;85;5;25;10;0;0;7;28;0;7;10;38;1295555804
77;CoreCodecProvider;0;0;0;49;11;0;8;65.3;1;1;4;0;2;0.82;0;4;0;0;0;0;0;0;0;0;13;1;1;25;65.8;1;0;1;1;5;1.3;0;0;4;2;1;1;0;0;6;7;0;1;1;3;1297447897
78;CorruptIndexException;0;3;3;30;5;0;1;66.7;1;1;1;1;2;0.6;1;3;0;0;0;0;0;0;0;0;7;1;1;2;22.2;1;0;1;1;5;2.4;0;0;1;2;1;1;4;2;0;2;0;38;1;7;1269287493
79;CustomScoreProvider;0;0;0;162;41;19.5;13;59.9;1;5;5.8;5;3;1.76;2.6;36;5;2;0;2;0;0;0;0;55;17;17;76;58;0;0;5;5;25;1.5;0;0;29;6;5;5;1;0;2;9;10;3;5;8;1269287493
80;CustomScoreQuery;0;0;0;384;168;16.7;93;26.8;3;9;3.85;8;5;2;2.3;169;36;8;0;4;1;1;0;1;247;68;22.7;80;24.5;0;0;7;6;47;0.6;1;0;112;5;26;17;0;0;8;42;36;2;13;41;1296426876
81;DataInput;0;67;67;152;48;8.3;24;46.7;1;9;3.56;2;3;1.73;1.44;25;0;0;1;3;0;0;0;0;66;13;13;54;45;1;0;8;8;96;4.8;0;0;31;11;11;12;1;4;0;17;66;23;12;8;1295549635
82;DataOutput;8;50;58;140;57;15.8;29;38.6;1;8;4.88;5;4;1.91;2.13;35;0;2;0;1;0;0;0;0;71;15;15;40;36;1;0;6;6;27;1.3;0;0;38;11;10;12;1;3;3;29;64;12;11;7;1298598913
83;DateTools;1;0;1;255;120;31.7;79;39.6;3;3;9;9;4;2.63;3.75;124;41;2;0;2;0;0;0;0;132;47;15.7;75;36.2;0;0;16;16;100;2.5;0;0;73;8;8;9;1;0;3;29;24;1;6;23;1295996178
84;DefaultSegmentInfosReader;0;0;0;124;58;19;32;27.4;1;3;13.67;11;7;2.66;4.67;54;19;2;4;3;0;0;0;0;75;18;18;28;27.2;2;0;7;7;60;2.7;0;0;39;3;3;4;0;0;13;31;6;1;4;4;1295759448
85;DefaultSegmentInfosWriter;0;0;0;87;33;3;14;36.8;1;4;3.75;2;3;1.24;1.25;29;7;1;0;2;0;0;0;0;44;5;5;26;37.1;0;0;2;2;7;0.5;0;0;16;1;4;5;0;0;6;20;10;1;4;7;1295759448
86;DefaultSimilarity;0;0;0;99;27;7.4;8;45.5;1;9;1.56;3;2;1.41;1.22;23;0;1;0;1;0;0;0;0;41;10;10;35;46.1;0;0;2;2;10;0.8;0;0;13;6;9;10;0;0;3;16;33;1;10;18;1297466174
87;DefaultSkipListReader;0;0;0;118;54;5.6;15;28;1;8;4.13;4;4;1.61;1.38;34;0;0;0;0;0;0;0;0;68;7;7;27;28.4;2;16;5;5;40;2;0;0;32;3;5;8;0;0;2;15;0;4;5;12;1270581567
88;DefaultSkipListWriter;0;0;0;128;55;10.9;20;39.1;1;4;8.5;5;4;1.73;2.5;55;3;2;0;0;0;0;0;0;64;8;8;42;39.6;1;0;1;1;5;0.3;0;0;32;3;4;4;0;0;2;10;0;1;3;13;1270581567
89;Direct16;4;0;4;91;35;8.6;8;30.8;1;8;2.38;4;4;1.51;1.38;25;0;1;0;1;2;0;0;2;49;10;10;20;29;6;0;2;2;10;0.7;0;0;19;8;7;8;0;0;4;11;0;2;8;3;1276978828
90;Direct32;4;0;4;87;33;6.1;8;31;1;8;2.13;3;3;1.39;1.25;19;0;1;0;1;2;0;0;2;46;9;9;19;29.2;6;0;2;2;10;0.7;0;0;17;8;7;8;0;0;4;11;0;2;8;3;1276978828
91;Direct64;3;0;3;83;30;3.3;7;32.5;1;8;1.75;2;3;1.3;1.13;19;0;1;0;1;2;0;0;2;42;8;8;19;31.1;6;0;3;3;15;1.2;0;0;14;8;7;8;0;0;4;11;0;1;8;3;1276978828
92;Direct8;4;0;4;91;35;8.6;8;30.8;1;8;2.38;4;4;1.51;1.38;18;0;0;0;0;2;0;0;2;49;10;10;20;29;6;0;2;2;10;0.7;0;0;19;8;7;8;0;0;4;11;0;2;8;3;1276978828
93;Directory;2;8;10;226;49;6.1;23;58.8;1;9;2.33;2;3;1.37;1.33;31;3;0;1;1;0;0;0;0;69;13;13;101;59.4;0;0;5;5;19;0.9;0;0;19;18;19;21;1;4;6;37;194;79;19;47;1291909583
94;DirectoryReader;0;0;0;1027;501;18.2;238;19.5;3;17.67;8.64;1;9+;1.6;1;403;63;15;7;13;1;1;0;1;713;183;91.5;181;20.2;0;125;41;38;330;1.5;0;3;379;2;60;55;0;0;33;170;669;5;33;66;1297940445
95;DisjunctionMaxQuery;0;0;0;283;131;19.1;73;30.7;2;9.5;5.11;9;5;2.44;2.47;147;23;7;0;14;0;0;0;0;171;52;26;69;28.7;0;0;22;17;71;1.4;5;0;101;6;19;14;0;0;6;40;0;2;12;33;1295555804
96;DisjunctionMaxScorer;0;0;0;186;93;22.6;26;26.9;1;9;8.33;8;5;2.6;3.44;86;23;2;0;6;0;0;0;0;119;31;31;38;24.2;0;0;12;6;19;0.5;6;0;70;0;9;9;0;0;2;15;0;1;5;20;1295555804
97;DisjunctionSumScorer;0;0;0;237;79;26.6;29;43;1;11;5.09;8;5;2.2;3;43;0;0;0;1;0;0;0;0;113;43;43;84;42.6;0;0;10;7;57;1.7;3;0;56;1;11;11;0;1;4;27;0;2;9;24;1295555804
98;DocConsumer;0;0;0;28;8;0;4;57.1;1;0;0;0;1;0.5;0;11;0;0;0;0;0;0;0;0;9;0;0;12;57.1;0;0;2;2;15;5.6;0;0;0;0;4;5;1;1;3;6;10;5;0;11;1292695408
99;DocConsumerPerThread;0;0;0;34;6;0;3;64.7;1;0;0;0;1;0.5;0;9;0;0;0;0;0;0;0;0;7;0;0;18;72;0;0;2;2;15;7.1;0;0;0;0;3;4;1;1;2;5;6;5;0;8;1298314239
100;DocFieldConsumer;0;0;0;39;9;0;4;59;1;0;0;0;1;0.44;0;12;0;0;0;0;0;0;0;0;10;0;0;19;65.5;0;0;2;2;15;5;0;0;0;0;4;5;1;1;3;6;10;4;0;11;1298314239
101;DocFieldConsumerPerField;0;0;0;27;6;0;2;63;1;0;0;0;1;0.33;0;7;0;0;0;0;0;0;0;0;7;0;0;13;65;0;0;2;2;15;7.1;0;0;0;0;2;3;1;1;1;4;3;6;0;7;1269287493
102;DocFieldConsumerPerThread;0;0;0;27;7;0;4;59.3;1;0;0;0;1;0.57;0;12;0;0;0;0;0;0;0;0;8;0;0;12;60;0;0;2;2;15;6.3;0;0;0;0;4;5;1;1;3;6;10;6;0;7;1269287493
103;DocFieldProcessor;0;0;0;87;31;6.5;13;34.5;1;5;3.4;3;3;1.45;1.4;33;3;0;0;1;0;0;0;0;43;7;7;24;35.8;0;0;2;2;6;0.5;0;0;18;0;5;5;0;0;12;22;0;2;5;20;1298494959
104;DocFieldProcessorPerField;0;0;0;45;14;0;3;42.2;1;2;1.5;1;2;1;1;23;0;0;0;0;0;0;0;0;17;2;2;13;43.3;1;0;1;1;5;1;0;0;3;1;2;2;1;0;5;5;0;2;2;7;1269287493
105;DocFieldProcessorPerThread;0;0;0;307;160;14.4;64;16;1;11;11.36;17;5;2.53;3.5;166;34;5;6;5;0;0;0;0;209;39;19.5;42;16.7;1;15;17;17;95;1.5;0;0;118;1;11;9;0;0;21;52;0;6;4;22;1298314239
106;DocIdBitSet;7;0;7;83;30;0;3;28.9;2;4;1.63;1;3;1.77;1;25;0;2;0;0;0;0;0;0;45;10;5;18;28.6;1;0;1;1;5;0.4;0;0;13;3;8;4;0;0;3;6;0;0;4;11;1269287493
107;DocIdSet;0;6;6;67;18;0;2;47.8;2;3;1;1;4;2.05;1;13;0;0;0;0;0;0;0;0;26;6;6;24;48;0;0;2;2;25;3.2;0;0;6;3;2;4;1;8;2;6;6;29;3;16;1269287493
108;DocIdSetIterator;0;107;107;97;7;0;3;83.5;1;0;0;0;1;0.57;0;6;0;0;0;0;0;0;0;0;8;0;0;61;88.4;0;0;1;1;5;2.1;0;0;0;4;3;4;1;10;0;5;6;30;4;14;1296120364
109;DocInverter;0;0;0;84;34;5.9;17;22.6;1;5;4;3;4;1.74;1.4;38;0;0;0;2;0;0;0;0;46;7;7;15;24.6;0;0;5;5;9;0.7;0;0;22;0;5;5;0;0;13;23;0;2;3;14;1298314239
